127.0.0.1 - - [26/Jun/2017:20:16:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:46 +0530] "GET /project1/resources/images/abtus.jpg HTTP/1.1" 200 572964
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:17:46 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:18:59 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10975
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:18:59 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/4.png HTTP/1.1" 200 33352
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/2.png HTTP/1.1" 200 39363
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/7.png HTTP/1.1" 200 150626
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/1.png HTTP/1.1" 200 65765
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/5.png HTTP/1.1" 200 190998
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/6.png HTTP/1.1" 200 231060
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/8.png HTTP/1.1" 200 31117
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/3.png HTTP/1.1" 200 551754
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/12.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/11.png HTTP/1.1" 200 219212
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/9.png HTTP/1.1" 200 220580
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:00 +0530] "GET /project1/resources/images/10.png HTTP/1.1" 200 95955
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:01 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/homePage HTTP/1.1" 200 9261
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:05 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [26/Jun/2017:20:19:06 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
